,text,tokenized_text
608,"i'll do face reveal &amp; then deleting my account if messi doesnt win, thats hw confident im that messi will win https://t.co/3WPnlJ7DxB","['ill', 'do', 'face', 'reveal', '', 'then', 'deleting', 'my', 'account', 'if', 'messi', 'doesnt', 'win', '', 'thats', 'hw', 'confident', 'im', 'that', 'messi', 'will', 'win', '']"
609,"@Sophonias_ He/She is saying that when everyone was confident that Messi will renew his contract (Pierre joining Oct 17), he went to PSG.","['Sophonias', 'He', '', 'She', 'is', 'saying', 'that', 'when', 'everyone', 'was', 'confident', 'that', 'Messi', 'will', 'renew', 'his', 'contract', '', 'Pierre', 'joining', 'Oct', '17', '', '', 'he', 'went', 'to', 'PSG', '']"
610,"“The truth is, I don't think about it. The biggest prize was what I achieved with the national team. We fought so hard for that, that was the ultimate goal. A 7th Ballon d'Or would be nice, but if I don’t win, it wouldn’t bother me. There are lots of great players.""
~Leo Messi https://t.co/Jz5hFuWfwK","['', 'The', 'truth', 'is', '', 'I', 'dont', 'think', 'about', 'it', '', 'The', 'biggest', 'prize', 'was', 'what', 'I', 'achieved', 'with', 'the', 'national', 'team', '', 'We', 'fought', 'so', 'hard', 'for', 'that', '', 'that', 'was', 'the', 'ultimate', 'goal', '', 'A', '7th', 'Ballon', 'dOr', 'would', 'be', 'nice', '', 'but', 'if', 'I', 'don', '', 't', 'win', '', 'it', 'wouldn', '', 't', 'bother', 'me', '', 'There', 'are', 'lots', 'of', 'great', 'players', '', '', '', 'Leo', 'Messi', '']"
611,I want Messi to win the ballon d’or but I wouldn’t mind seeing @breathMessi21‘s tears in case he doesn’t win,"['I', 'want', 'Messi', 'to', 'win', 'the', 'ballon', 'd', '', 'or', 'but', 'I', 'wouldn', '', 't', 'mind', 'seeing', 'breathMessi21', '', 's', 'tears', 'in', 'case', 'he', 'doesn', '', 't', 'win']"
612,@s__avvy @KieranCFC88 @edsonsa79718631 @easyWsOnly @Youssef51307395 @mateopasagali @FCBDynamite_ @TotalMaestro @MessiIizer U defo didn't witness that moment otherwise u wouldn't be a Messi fan,"['savvy', 'KieranCFC88', 'edsonsa79718631', 'easyWsOnly', 'Youssef51307395', 'mateopasagali', 'FCBDynamite', 'TotalMaestro', 'MessiIizer', 'U', 'defo', 'didnt', 'witness', 'that', 'moment', 'otherwise', 'u', 'wouldnt', 'be', 'a', 'Messi', 'fan']"
613,@honest_messi @Afc_Ahmed14 @AkafiAli Who are you,"['honestmessi', 'AfcAhmed14', 'AkafiAli', 'Who', 'are', 'you']"
614,"@nana______g @Jay_Bancs @dnyk__ You taya pass😂😂😂😂

Always knew Messi was a fraud.","['nanag', 'JayBancs', 'dnyk', 'You', 'taya', 'pass', '', '', '', 'Always', 'knew', 'Messi', 'was', 'a', 'fraud', '']"
615,@SAMO_10_ My tweet is about Messi without the ball not necessarily about that video,"['SAMO10', 'My', 'tweet', 'is', 'about', 'Messi', 'without', 'the', 'ball', 'not', 'necessarily', 'about', 'that', 'video']"
616,@_Zeus1_ @AvogzWedaga @mariiiio_ @Pallaspyro @cubanjamesbond You slandered Messi..,"['Zeus1', 'AvogzWedaga', 'mariiiio', 'Pallaspyro', 'cubanjamesbond', 'You', 'slandered', 'Messi', '']"
617,"If #LM7  doesn't happen
Messi has been robbed https://t.co/UVWa3YXJtj","['If', 'LM7', 'doesnt', 'happen', 'Messi', 'has', 'been', 'robbed', '']"
618,"refuse to believe pique and messi have friction between them despite the rumours, they literally grew up together as footballers and humans 🥴","['refuse', 'to', 'believe', 'pique', 'and', 'messi', 'have', 'friction', 'between', 'them', 'despite', 'the', 'rumours', '', 'they', 'literally', 'grew', 'up', 'together', 'as', 'footballers', 'and', 'humans', '']"
619,"@SelecaoTalk ""his best performances blow anyone not named Lionel Messi out of the water."", 

What does this mean boss?","['SelecaoTalk', '', 'his', 'best', 'performances', 'blow', 'anyone', 'not', 'named', 'Lionel', 'Messi', 'out', 'of', 'the', 'water', '', '', '', 'What', 'does', 'this', 'mean', 'boss', '']"
620,Special mention to Messi for also dropping stinkers 5 GWs straight in the league 🤝 https://t.co/uqE5F0BH71,"['Special', 'mention', 'to', 'Messi', 'for', 'also', 'dropping', 'stinkers', '5', 'GWs', 'straight', 'in', 'the', 'league', '', '']"
